experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations_ratio,algorithm,k,k_to_schools_ratio,possible_percentage_manipulators,num_manipulations,average_runtime,average_utility,utility_rating_in_experiment,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,gs,4,0.5,75.0,8.0,1.44465030670166,0.1220079422813702,6.0,0.1043254857083487,0.12790209447237735,67.66666666666667,18.76,20.8,42.08,13.706666666666667
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,gs,5,0.625,75.0,8.0,1.56233736038208,0.12371851623600501,5.0,0.11272716178107992,0.12738230105431336,56.33333333333333,14.48,15.36,29.22666666666667,10.737777777777778
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,gs,6,0.75,75.0,8.0,1.7018107414245605,0.12499284633701299,4.0,0.12316037559865169,0.12560366991646676,56.0,10.16,9.906666666666668,17.893333333333334,7.2444444444444445
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,gs,7,0.875,75.0,8.0,1.8386464881896973,0.12612774354415698,1.0,0.1262730316650439,0.12607931417052803,40.666666666666664,5.04,5.84,10.56,4.266666666666667
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,gs,8,1.0,75.0,8.0,1.8602479934692382,0.12577882208016156,3.0,0.1262063460902343,0.12563631407680398,0.0,0.0,0.0,0.0,0.0
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,boston,8,1.0,75.0,8.0,1.2531956100463868,0.12603688020859197,2.0,0.12353559337770546,0.12687064248555413,0.0,0.0,0.0,0.0,0.0
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,gs,1,0.125,100.0,6.0,1.5260833454132081,0.10286930875686479,9.0,0.0,0.10286930875686479,61.66666666666667,16.28,42.0,0.0,42.0
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,gs,2,0.25,100.0,6.0,1.5660444259643556,0.12255139411249695,8.0,0.0,0.12255139411249695,91.66666666666666,30.2,24.993333333333336,0.0,24.993333333333336
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,gs,3,0.375,100.0,6.0,1.6332212638854982,0.12561174322073096,6.0,0.0,0.12561174322073096,90.66666666666666,27.8,19.58,0.0,19.58
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,gs,4,0.5,100.0,6.0,1.7342588806152344,0.12476929159430877,7.0,0.0,0.12476929159430877,80.66666666666666,21.84,18.24,0.0,18.24
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,gs,5,0.625,100.0,6.0,1.8746148872375488,0.12580252631191075,5.0,0.0,0.12580252631191075,66.66666666666667,16.6,13.193333333333335,0.0,13.193333333333335
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,gs,6,0.75,100.0,6.0,2.0500655460357664,0.12636776991737989,2.0,0.0,0.12636776991737989,66.0,11.84,8.46,0.0,8.46
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,gs,7,0.875,100.0,6.0,2.2279571151733397,0.12643356317657642,1.0,0.0,0.12643356317657642,47.0,5.84,5.013333333333334,0.0,5.013333333333334
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,gs,8,1.0,100.0,6.0,2.2513340377807616,0.12617289551297664,3.0,0.0,0.12617289551297664,0.0,0.0,0.0,0.0,0.0
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,boston,8,1.0,100.0,6.0,1.5108043098449706,0.12607011792655987,4.0,0.0,0.12607011792655987,0.0,0.0,0.0,0.0,0.0
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,gs,1,0.125,100.0,8.0,1.3607169437408446,0.10576577719218987,9.0,0.0,0.10576577719218987,50.0,12.16,44.0,0.0,44.0
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,gs,2,0.25,100.0,8.0,1.3946637058258056,0.13042277896568932,8.0,0.0,0.13042277896568932,83.66666666666666,25.08,24.58,0.0,24.58
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,gs,3,0.375,100.0,8.0,1.4545058345794677,0.13449363493328864,7.0,0.0,0.13449363493328864,91.66666666666666,26.28,18.62,0.0,18.62
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,gs,4,0.5,100.0,8.0,1.5507025718688965,0.13571254929157417,4.0,0.0,0.13571254929157417,80.0,20.76,15.433333333333335,0.0,15.433333333333335
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,gs,5,0.625,100.0,8.0,1.6853162574768066,0.13533567587027578,6.0,0.0,0.13533567587027578,66.66666666666666,14.88,12.26,0.0,12.26
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,gs,6,0.75,100.0,8.0,1.8437542343139648,0.1361388728027093,2.0,0.0,0.1361388728027093,59.33333333333333,10.32,7.98,0.0,7.98
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,gs,7,0.875,100.0,8.0,1.9928838634490966,0.13543552343634424,5.0,0.0,0.13543552343634424,38.333333333333336,4.64,4.773333333333333,0.0,4.773333333333333
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,gs,8,1.0,100.0,8.0,2.0156542682647705,0.13628455610547627,1.0,0.0,0.13628455610547627,0.0,0.0,0.0,0.0,0.0
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,boston,8,1.0,100.0,8.0,1.3476211261749267,0.13594528794981606,3.0,0.0,0.13594528794981606,0.0,0.0,0.0,0.0,0.0
13.0,14,3,True,5,5,50,0.001,0.75,4,0.75,gs,1,0.333,71.42857142857143,2.0,0.09084058761596679,0.33613713646741805,1.0,0.33794643248097755,0.33541341806199426,53.714285714285715,10.8,14.571428571428571,35.28,6.287999999999999
13.0,14,3,True,5,5,50,0.001,0.75,4,0.75,gs,2,0.667,71.42857142857143,2.0,0.10556831359863281,0.31972092522653817,4.0,0.29847393820513185,0.3282197200351007,38.285714285714285,6.2,12.44,29.02,5.808000000000001
13.0,14,3,True,5,5,50,0.001,0.75,4,0.75,gs,3,1.0,71.42857142857143,2.0,0.11324316024780273,0.32520620934461847,2.0,0.3177252595826096,0.32819858924942197,0.0,0.0,0.0,0.0,0.0
13.0,14,3,True,5,5,50,0.001,0.75,4,0.75,boston,3,1.0,71.42857142857143,2.0,0.08076766967773437,0.3238848316497884,3.0,0.31737197771669134,0.3264899732230272,0.0,0.0,0.0,0.0,0.0
14.0,14,3,True,5,5,50,0.001,0.75,4,1.0,gs,1,0.333,71.42857142857143,3.0,0.08930992126464844,0.3329813153120901,1.0,0.33052420406144345,0.33396415981234884,52.285714285714285,10.32,16.57142857142857,36.68,8.528
14.0,14,3,True,5,5,50,0.001,0.75,4,1.0,gs,2,0.667,71.42857142857143,3.0,0.10409769058227539,0.31876184984098527,4.0,0.29821260618845613,0.3269815473019969,38.0,5.84,11.805714285714286,28.64,5.072
14.0,14,3,True,5,5,50,0.001,0.75,4,1.0,gs,3,1.0,71.42857142857143,3.0,0.11176042556762696,0.3235888642356625,3.0,0.3188479113415151,0.32548524539332147,0.0,0.0,0.0,0.0,0.0
14.0,14,3,True,5,5,50,0.001,0.75,4,1.0,boston,3,1.0,71.42857142857143,3.0,0.07810941696166993,0.32396582000796065,2.0,0.3202773089968558,0.32544122441240264,0.0,0.0,0.0,0.0,0.0
15.0,14,3,True,5,5,50,0.001,1.0,0,0.75,gs,1,0.333,100.0,2.0,0.10531620979309082,0.34233580501658845,1.0,0.0,0.34233580501658845,58.857142857142854,11.72,12.285714285714285,0.0,12.285714285714285
15.0,14,3,True,5,5,50,0.001,1.0,0,0.75,gs,2,0.667,100.0,2.0,0.1247638988494873,0.3290341458766388,2.0,0.0,0.3290341458766388,55.714285714285715,9.04,8.348571428571429,0.0,8.348571428571429
15.0,14,3,True,5,5,50,0.001,1.0,0,0.75,gs,3,1.0,100.0,2.0,0.13386618614196777,0.3180201681203847,4.0,0.0,0.3180201681203847,0.0,0.0,0.0,0.0,0.0
15.0,14,3,True,5,5,50,0.001,1.0,0,0.75,boston,3,1.0,100.0,2.0,0.09352510452270507,0.3181699477766347,3.0,0.0,0.3181699477766347,0.0,0.0,0.0,0.0,0.0
16.0,14,3,True,5,5,50,0.001,1.0,0,1.0,gs,1,0.333,100.0,3.0,0.10093721389770507,0.3737460904378298,1.0,0.0,0.3737460904378298,52.285714285714285,9.12,11.428571428571429,0.0,11.428571428571429
16.0,14,3,True,5,5,50,0.001,1.0,0,1.0,gs,2,0.667,100.0,3.0,0.11803853988647461,0.3649792271700551,2.0,0.0,0.3649792271700551,46.0,7.12,6.994285714285715,0.0,6.994285714285715
16.0,14,3,True,5,5,50,0.001,1.0,0,1.0,gs,3,1.0,100.0,3.0,0.12631003379821779,0.3594882524637605,3.0,0.0,0.3594882524637605,0.0,0.0,0.0,0.0,0.0
16.0,14,3,True,5,5,50,0.001,1.0,0,1.0,boston,3,1.0,100.0,3.0,0.08891615867614747,0.3581502067941465,4.0,0.0,0.3581502067941465,0.0,0.0,0.0,0.0,0.0
17.0,14,5,True,5,5,50,0.001,0.75,4,0.75,gs,1,0.2,71.42857142857143,4.0,0.31007527351379394,0.17264288925970958,6.0,0.1455987286690944,0.18346055349595566,61.714285714285715,16.24,30.285714285714285,58.44,19.024
17.0,14,5,True,5,5,50,0.001,0.75,4,0.75,gs,2,0.4,71.42857142857143,4.0,0.33909079551696775,0.18259723245590734,5.0,0.13904026824748572,0.200020018139276,66.0,18.48,21.971428571428575,56.68,8.088
17.0,14,5,True,5,5,50,0.001,0.75,4,0.75,gs,3,0.6,71.42857142857143,4.0,0.3800026226043701,0.18430340461016015,4.0,0.16096277869818146,0.19363965497495164,63.142857142857146,13.52,15.234285714285715,41.14,4.872000000000001
17.0,14,5,True,5,5,50,0.001,0.75,4,0.75,gs,4,0.8,71.42857142857143,4.0,0.42305185317993166,0.18858674591625896,3.0,0.18577311288884396,0.18971219912722492,36.0,5.92,7.514285714285714,13.8,5.0
17.0,14,5,True,5,5,50,0.001,0.75,4,0.75,gs,5,1.0,71.42857142857143,4.0,0.4355035877227783,0.19023019545345698,1.0,0.1866721715713811,0.1916534050062873,0.0,0.0,0.0,0.0,0.0
17.0,14,5,True,5,5,50,0.001,0.75,4,0.75,boston,5,1.0,71.42857142857143,4.0,0.29482929229736327,0.18991422192196597,2.0,0.18829047274421526,0.19056372159306625,0.0,0.0,0.0,0.0,0.0
18.0,14,5,True,5,5,50,0.001,0.75,4,1.0,gs,1,0.2,71.42857142857143,5.0,0.2950036239624023,0.20280152709174257,6.0,0.16286588066375088,0.2187757856629392,46.0,10.8,28.857142857142858,53.1,19.16
18.0,14,5,True,5,5,50,0.001,0.75,4,1.0,gs,2,0.4,71.42857142857143,5.0,0.32011956214904785,0.21630890848370776,5.0,0.18597858855133204,0.22844103645665803,60.85714285714286,16.24,18.782857142857143,41.78,9.584
18.0,14,5,True,5,5,50,0.001,0.75,4,1.0,gs,3,0.6,71.42857142857143,5.0,0.35585676193237303,0.21898816985687072,4.0,0.20555701129869441,0.22436063328014125,56.285714285714285,13.24,12.48,25.44,7.296
18.0,14,5,True,5,5,50,0.001,0.75,4,1.0,gs,4,0.8,71.42857142857143,5.0,0.4015998363494873,0.22098138080283344,3.0,0.2152185893401949,0.22328649738788886,48.0,7.56,7.177142857142858,14.58,4.216
18.0,14,5,True,5,5,50,0.001,0.75,4,1.0,gs,5,1.0,71.42857142857143,5.0,0.4137200927734375,0.2230466133544516,1.0,0.22290485385662479,0.2231033171535823,0.0,0.0,0.0,0.0,0.0
18.0,14,5,True,5,5,50,0.001,0.75,4,1.0,boston,5,1.0,71.42857142857143,5.0,0.2826245880126953,0.2224251700760897,2.0,0.22392568872748672,0.22182496261553092,0.0,0.0,0.0,0.0,0.0
19.0,14,5,True,5,5,50,0.001,1.0,0,0.75,gs,1,0.2,100.0,4.0,0.4230680179595947,0.1760580795949222,6.0,0.0,0.1760580795949222,72.0,19.4,28.0,0.0,28.0
19.0,14,5,True,5,5,50,0.001,1.0,0,0.75,gs,2,0.4,100.0,4.0,0.45854865074157714,0.18326344302610018,3.0,0.0,0.18326344302610018,86.0,23.12,19.314285714285717,0.0,19.314285714285717
19.0,14,5,True,5,5,50,0.001,1.0,0,0.75,gs,3,0.6,100.0,4.0,0.5165444087982177,0.18383364279422296,2.0,0.0,0.18383364279422296,64.57142857142857,17.08,14.022857142857141,0.0,14.022857142857141
19.0,14,5,True,5,5,50,0.001,1.0,0,0.75,gs,4,0.8,100.0,4.0,0.5831510543823242,0.18420997783796036,1.0,0.0,0.18420997783796036,72.85714285714285,12.04,5.702857142857144,0.0,5.702857142857144
19.0,14,5,True,5,5,50,0.001,1.0,0,0.75,gs,5,1.0,100.0,4.0,0.5977379512786866,0.18160922400304993,4.0,0.0,0.18160922400304993,0.0,0.0,0.0,0.0,0.0
19.0,14,5,True,5,5,50,0.001,1.0,0,0.75,boston,5,1.0,100.0,4.0,0.4049860572814941,0.1815839544854472,5.0,0.0,0.1815839544854472,0.0,0.0,0.0,0.0,0.0
20.0,14,5,True,5,5,50,0.001,1.0,0,1.0,gs,1,0.2,100.0,5.0,0.4051991081237793,0.19836063175003316,3.0,0.0,0.19836063175003316,63.42857142857143,17.8,24.0,0.0,24.0
20.0,14,5,True,5,5,50,0.001,1.0,0,1.0,gs,2,0.4,100.0,5.0,0.43982157707214353,0.19931990127636506,2.0,0.0,0.19931990127636506,76.28571428571428,20.08,18.94857142857143,0.0,18.94857142857143
20.0,14,5,True,5,5,50,0.001,1.0,0,1.0,gs,3,0.6,100.0,5.0,0.4945804214477539,0.2005106141764722,1.0,0.0,0.2005106141764722,68.0,15.96,11.771428571428574,0.0,11.771428571428574
20.0,14,5,True,5,5,50,0.001,1.0,0,1.0,gs,4,0.8,100.0,5.0,0.5581201076507568,0.19792456942874867,4.0,0.0,0.19792456942874867,57.714285714285715,9.04,6.394285714285714,0.0,6.394285714285714
20.0,14,5,True,5,5,50,0.001,1.0,0,1.0,gs,5,1.0,100.0,5.0,0.5723305892944336,0.19581461129588618,6.0,0.0,0.19581461129588618,0.0,0.0,0.0,0.0,0.0
