experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,utility_rating_in_experiment,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students,k_to_schools_ratio
104.0,200,5,True,5,5,50,0.01,0.75,50,4,gs,5,75.0,20.05791220664978,2.0,0.1741642769569991,0.1746035370531533,0.1740178569249477,0.0,0.0,0.0,0.0,0.0,1.0
104.0,200,5,True,5,5,50,0.01,0.75,50,4,boston,5,75.0,13.535096130371096,3.0,0.1741641954089369,0.1741408125853324,0.1741719896834717,0.0,0.0,0.0,0.0,0.0,1.0
105.0,200,5,True,5,5,50,0.01,0.75,50,5,gs,1,75.0,15.4922137260437,1.0,0.2272977734803735,0.2221188572298151,0.2290240788972263,56.84,225.84,17.18,35.9328,10.929066666666667,0.2
105.0,200,5,True,5,5,50,0.01,0.75,50,5,gs,2,75.0,17.06004566192627,2.0,0.2227490064929229,0.2139749861965755,0.2256736799250387,59.86,229.8,14.5788,31.648000000000003,8.889066666666666,0.4
105.0,200,5,True,5,5,50,0.01,0.75,50,5,gs,3,75.0,19.32384365081787,6.0,0.2194115415377835,0.2097434801960289,0.2226342286517018,45.36,136.16,11.9888,25.2384,7.572266666666667,0.6
105.0,200,5,True,5,5,50,0.01,0.75,50,5,gs,4,75.0,21.64169870376587,5.0,0.2205156290816466,0.2174037921709618,0.2215529080518748,33.5,75.48,7.9508,14.056,5.915733333333334,0.8
105.0,200,5,True,5,5,50,0.01,0.75,50,5,gs,5,75.0,21.839896059036256,4.0,0.2220299931245398,0.2222111360949681,0.221969612134397,0.0,0.0,0.0,0.0,0.0,1.0
105.0,200,5,True,5,5,50,0.01,0.75,50,5,boston,5,75.0,14.700271215438844,3.0,0.2221312768670934,0.2220537907063251,0.2221571055873495,0.0,0.0,0.0,0.0,0.0,1.0
106.0,200,5,True,5,5,50,0.01,1.0,0,2,gs,1,100.0,12.085804634094238,6.0,0.132327396933858,0.0,0.132327396933858,70.46,210.52,51.7,0.0,51.7,0.2
106.0,200,5,True,5,5,50,0.01,1.0,0,2,gs,2,100.0,12.975778074264529,5.0,0.1701217599736586,0.0,0.1701217599736586,81.08,265.48,26.1824,0.0,26.1824,0.4
